code,name,descr
836,name-26792836,descr-26792836
837,name-26792837,descr-26792837
838,name-26792838,descr-26792838
839,name-26792839,descr-26792839
840,name-26792840,descr-26792840
841,name-26792841,descr-26792841
842,name-26792842,descr-26792842
843,name-26792843,descr-26792843
844,name-26792844,descr-26792844
845,name-26792845,descr-26792845
846,name-26792846,descr-26792846
847,name-26792847,descr-26792847
848,name-26792848,descr-26792848
849,name-26792849,descr-26792849
850,name-26792850,descr-26792850
851,name-26792851,descr-26792851
852,name-26792852,descr-26792852
853,name-26792853,descr-26792853
854,name-26792854,descr-26792854
855,name-26792855,descr-26792855
