code,locale,name,descr
836,nl,name-14701057,descr-14701057
836,en,name-14701058,descr-14701058
837,fr,name-6687926,descr-6687926
837,sv,name-6687927,descr-6687927
838,tr,name-14841519,descr-14841519
838,pl,name-14841520,descr-14841520
839,ko,name-10398486,descr-10398486
839,sv,name-10398487,descr-10398487
840,hu,name-23956929,descr-23956929
840,es,name-23956930,descr-23956930
841,ms,name-14105914,descr-14105914
841,da,name-14105915,descr-14105915
842,zh,name-10954943,descr-10954943
842,th,name-10954944,descr-10954944
843,it,name-12884832,descr-12884832
843,ar,name-12884833,descr-12884833
844,ro,name-10025065,descr-10025065
844,ar,name-10025066,descr-10025066
845,da,name-22774975,descr-22774975
845,sv,name-22774976,descr-22774976
846,ru,name-28440913,descr-28440913
846,ro,name-28440914,descr-28440914
847,th,name-21607956,descr-21607956
847,nl,name-21607957,descr-21607957
848,sv,name-10751354,descr-10751354
848,da,name-10751355,descr-10751355
849,ar,name-8325457,descr-8325457
849,da,name-8325458,descr-8325458
850,fi,name-3947151,descr-3947151
850,ms,name-3947152,descr-3947152
851,cs,name-3568563,descr-3568563
851,fr,name-3568564,descr-3568564
852,fr,name-27738950,descr-27738950
852,ru,name-27738951,descr-27738951
853,en,name-16742977,descr-16742977
853,ja,name-16742978,descr-16742978
854,ru,name-27273728,descr-27273728
854,zh,name-27273729,descr-27273729
855,cs,name-10111432,descr-10111432
855,nl,name-10111433,descr-10111433
